train_loss,eval_loss
1.0400922937975752,0.25316858291625977
1.0043195701632763,0.25366368889808655
0.9873303355066323,0.254090279340744
0.9784655567315733,0.2546722888946533
0.9723628192988618,0.2550641596317291
0.9665586949583211,0.2524355351924896
0.96178857893883,0.2530756890773773
0.9570500783787961,0.2523595690727234
0.9520602447266456,0.2507186830043793
0.9469056906327148,0.25182998180389404
0.9415758993068104,0.25186941027641296
0.9362728932075363,0.2507811188697815
0.9308143123635805,0.25158724188804626
0.9256000940347993,0.2522088587284088
0.9180103381221508,0.25210335850715637
0.9120138932499418,0.2524268627166748
0.9052394934164281,0.25209808349609375
0.8991744058072407,0.25317269563674927
0.8940779989128189,0.25353381037712097
0.8879705228180014,0.25596314668655396
0.8808944918538095,0.2536565065383911
0.8774448685699422,0.2566612958908081
0.8723931686929856,0.258116751909256
0.8681010012234921,0.2619995176792145
0.8642997422249862,0.25885000824928284
0.8593549527816383,0.26231861114501953
0.8555849402634416,0.26068928837776184
0.8532378544333888,0.26260268688201904
0.8502230320568624,0.26712292432785034
0.8505540104925724,0.2690867483615875
0.8424275532559109,0.2654381990432739
0.8397443299947387,0.2739357650279999
0.8372794505351572,0.27848049998283386
0.8339700194915608,0.2716270387172699
0.831620200842539,0.2727386951446533
0.8297237911578725,0.2761569619178772
0.8281658486768809,0.28259432315826416
0.8238036910369078,0.2845439612865448
0.8235195281344003,0.2898959219455719
0.8192570899541781,0.2836751341819763
0.8177643883610545,0.2818683087825775
0.8146158446420693,0.30056148767471313
0.813879023549187,0.2929282486438751
0.8125015665548482,0.31099504232406616
0.8114165075354712,0.30229851603507996
0.8085588750769412,0.3012583255767822
0.8068703639521007,0.3018699288368225
0.8084826072340865,0.2965793311595917
0.8035838419905766,0.31018444895744324
0.8022044776841724,0.3139859437942505
0.8002874196718441,0.32026565074920654
0.7993084822912797,0.3047504425048828
0.7978575936015809,0.31454914808273315
0.795076574582858,0.30881354212760925
0.7950443802298578,0.32194453477859497
0.7917604811426732,0.3283383846282959
0.7915122678060588,0.3340194821357727
0.7894167849602624,0.35406965017318726
0.7898936158520358,0.32889458537101746
